Wavelength (nm),Refractive Index
700,2.621230752
699,2.621415643
698,2.621601355
697,2.621787893
696,2.621975262
695,2.622163468
694,2.622352515
693,2.62254241
692,2.622733157
691,2.622924763
690,2.623117232
689,2.623310571
688,2.623504784
687,2.623699878
686,2.623895859
685,2.624092731
684,2.624290501
683,2.624489174
682,2.624688758
681,2.624889256
680,2.625090676
679,2.625293024
678,2.625496305
677,2.625700526
676,2.625905693
675,2.626111812
674,2.626318889
673,2.626526932
672,2.626735945
671,2.626945936
670,2.627156911
669,2.627368877
668,2.62758184
667,2.627795808
666,2.628010786
665,2.628226781
664,2.628443801
663,2.628661853
662,2.628880942
661,2.629101077
660,2.629322264
659,2.62954451
658,2.629767824
657,2.629992211
656,2.630217679
655,2.630444236
654,2.63067189
653,2.630900646
652,2.631130514
651,2.631361501
650,2.631593615
649,2.631826863
648,2.632061253
647,2.632296793
646,2.632533492
645,2.632771357
644,2.633010396
643,2.633250617
642,2.63349203
641,2.633734641
640,2.63397846
639,2.634223495
638,2.634469755
637,2.634717249
636,2.634965984
635,2.63521597
634,2.635467216
633,2.63571973
632,2.635973523
631,2.636228602
630,2.636484977
629,2.636742658
628,2.637001653
627,2.637261973
626,2.637523627
625,2.637786624
624,2.638050974
623,2.638316687
622,2.638583773
621,2.638852242
620,2.639122104
619,2.639393369
618,2.639666048
617,2.63994015
616,2.640215687
615,2.640492668
614,2.640771105
613,2.641051009
612,2.64133239
611,2.641615258
610,2.641899626
609,2.642185505
608,2.642472905
607,2.642761838
606,2.643052316
605,2.643344351
604,2.643637953
603,2.643933135
602,2.644229908
601,2.644528286
600,2.644828279
599,2.645129901
598,2.645433163
597,2.645738079
596,2.646044661
595,2.646352921
594,2.646662873
593,2.64697453
592,2.647287904
591,2.64760301
590,2.64791986
589,2.648238468
588,2.648558848
587,2.648881014
586,2.649204979
585,2.649530758
584,2.649858365
583,2.650187814
582,2.650519121
581,2.650852298
580,2.651187362
579,2.651524328
578,2.65186321
577,2.652204023
576,2.652546784
575,2.652891508
574,2.65323821
573,2.653586907
572,2.653937614
571,2.654290348
570,2.654645125
569,2.655001962
568,2.655360876
567,2.655721883
566,2.656085001
565,2.656450246
564,2.656817637
563,2.657187191
562,2.657558926
561,2.65793286
560,2.65830901
559,2.658687396
558,2.659068036
557,2.659450949
556,2.659836154
555,2.66022367
554,2.660613517
553,2.661005713
552,2.66140028
551,2.661797236
550,2.662196603
549,2.6625984
548,2.663002648
547,2.663409369
546,2.663818584
545,2.664230313
544,2.664644579
543,2.665061403
542,2.665480807
541,2.665902815
540,2.666327447
539,2.666754728
538,2.66718468
537,2.667617327
536,2.668052692
535,2.668490799
534,2.668931673
533,2.669375337
532,2.669821817
531,2.670271137
530,2.670723323
529,2.671178401
528,2.671636395
527,2.672097332
526,2.672561239
525,2.673028143
524,2.67349807
523,2.673971048
522,2.674447105
521,2.674926268
520,2.675408566
519,2.675894027
518,2.676382682
517,2.676874558
516,2.677369686
515,2.677868095
514,2.678369816
513,2.678874881
512,2.679383319
511,2.679895163
510,2.680410444
509,2.680929195
508,2.681451448
507,2.681977237
506,2.682506594
505,2.683039554
504,2.683576151
503,2.68411642
502,2.684660395
501,2.685208113
500,2.685759608
499,2.686314919
498,2.686874082
497,2.687437133
496,2.688004111
495,2.688575054
494,2.689150001
493,2.689728991
492,2.690312064
491,2.690899261
490,2.691490621
489,2.692086186
488,2.692685998
487,2.6932901
486,2.693898534
485,2.694511343
484,2.695128572
483,2.695750266
482,2.696376469
481,2.697007227
480,2.697642587
479,2.698282595
478,2.698927299
477,2.699576748
476,2.70023099
475,2.700890074
474,2.701554051
473,2.702222972
472,2.702896888
471,2.703575851
470,2.704259915
469,2.704949132
468,2.705643557
467,2.706343246
466,2.707048254
465,2.707758638
