Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
700,21.52199936,700,129.5082397,700,33.48357773,700,66.15844727,700,66.62667847,700,33.04623795,
699,21.32965851,699,129.7649231,699,33.48601532,699,66.18538666,699,66.61678314,699,33.04845047,
698,21.14640236,698,130.0018463,698,33.48223114,698,66.16410828,698,66.61307526,698,33.04682541,
697,20.95324135,697,130.2467041,697,33.48870468,697,66.14771271,697,66.61623383,697,33.05266953,
696,20.76379967,696,130.4962463,696,33.48776245,696,66.12841797,696,66.6010437,696,33.05757141,
695,20.56887054,695,130.7292023,695,33.49640656,695,66.14672852,695,66.60271454,695,33.06026077,
694,20.37742233,694,130.986908,694,33.49940491,694,66.14191437,694,66.58805847,694,33.05935287,
693,20.18086052,693,131.2211914,693,33.5017128,693,66.1451416,693,66.59357452,693,33.06742477,
692,19.9890995,692,131.4610748,692,33.51065063,692,66.11338043,692,66.59189606,692,33.07079697,
691,19.79792595,691,131.7085876,691,33.52428818,691,66.12216187,691,66.58555603,691,33.07411575,
690,19.60509491,690,131.9498444,690,33.51735306,690,66.11675262,690,66.58102417,690,33.07853699,
689,19.41241837,689,132.1970367,689,33.52055359,689,66.11288452,689,66.56930542,689,33.07872009,
688,19.2217598,688,132.4370728,688,33.52173996,688,66.11212158,688,66.56729889,688,33.08306885,
687,19.03075218,687,132.6563568,687,33.53572464,687,66.11489105,687,66.56415558,687,33.0883255,
686,18.84123802,686,132.9077759,686,33.53382874,686,66.09851837,686,66.55189514,686,33.08501053,
685,18.65460205,685,133.1343231,685,33.52667999,685,66.09580231,685,66.55609894,685,33.09257507,
684,18.47188568,684,133.3644104,684,33.54159164,684,66.08056641,684,66.54631805,684,33.09381104,
683,18.28231812,683,133.5909729,683,33.54652405,683,66.11629486,683,66.54481506,683,33.09952545,
682,18.10417557,682,133.8177795,682,33.54898453,682,66.09484863,682,66.53827667,682,33.10440826,
681,17.92230988,681,134.0351105,681,33.55409622,681,66.09283447,681,66.53201294,681,33.10299683,
680,17.7511425,680,134.252533,680,33.55906296,680,66.07940674,680,66.52442932,680,33.10627747,
679,17.58320045,679,134.4589081,679,33.53723145,679,66.07739258,679,66.52415466,679,33.10782242,
678,17.41714096,678,134.6615906,678,33.56489563,678,66.07472229,678,66.52106476,678,33.11633301,
677,17.2571907,677,134.8653107,677,33.5615921,677,66.06694031,677,66.51816559,677,33.11952972,
676,17.1067276,676,135.0471039,676,33.56300735,676,66.06558228,676,66.5173111,676,33.12343216,
