Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
700,21.51766968,700,129.5315094,700,33.53599167,700,66.26367188,700,66.70097351,700,33.05992126,
699,21.33415413,699,129.7731323,699,33.51673889,699,66.24591064,699,66.70404816,699,33.06533432,
698,21.14425278,698,130.0112,698,33.53187561,698,66.25611877,698,66.69765472,698,33.0700264,
697,20.95428467,697,130.2643433,697,33.5300293,697,66.25875854,697,66.6867981,697,33.06974792,
696,20.75919533,696,130.5045471,696,33.52334213,696,66.25331116,696,66.68991089,696,33.06855392,
695,20.56811905,695,130.7484894,695,33.54590988,695,66.24630737,695,66.67417908,695,33.08052826,
694,20.37708664,694,130.9879913,694,33.54122162,694,66.25037384,694,66.68533325,694,33.0842514,
693,20.18224716,693,131.2305908,693,33.55347061,693,66.24280548,693,66.6811676,693,33.083992,
692,19.98914528,692,131.4866943,692,33.55523682,692,66.25926971,692,66.65948486,692,33.08463669,
691,19.79500961,691,131.7217255,691,33.5594368,691,66.26675415,691,66.66927338,691,33.09067917,
690,19.60298157,690,131.9615936,690,33.54845428,690,66.24646759,690,66.66983032,690,33.0961113,
689,19.41762352,689,132.2043304,689,33.55056381,689,66.22373199,689,66.65909576,689,33.0997963,
688,19.22256279,688,132.4442291,688,33.57651138,688,66.21231079,688,66.65196228,688,33.10467148,
687,19.03103828,687,132.674881,687,33.56490326,687,66.21963501,687,66.65250397,687,33.10466003,
686,18.84189606,686,132.905899,686,33.55891037,686,66.20320892,686,66.64788055,686,33.10971069,
685,18.64942551,685,133.1490936,685,33.58034134,685,66.21889496,685,66.63145447,685,33.11503983,
684,18.46642303,684,133.3810577,684,33.57752228,684,66.22185516,684,66.62577057,684,33.11374283,
683,18.28053284,683,133.6059875,683,33.59498215,683,66.2100296,683,66.62374115,683,33.11943436,
682,18.10401726,682,133.8300781,682,33.57918549,682,66.18726349,682,66.61518097,682,33.13169479,
681,17.92487335,681,134.0428314,681,33.57674408,681,66.20736694,681,66.62155914,681,33.12983704,
680,17.75414658,680,134.271759,680,33.58315659,680,66.17713928,680,66.61064148,680,33.12693024,
679,17.58261108,679,134.47052,679,33.59589005,679,66.18553162,679,66.60932922,679,33.13433838,
678,17.41966057,678,134.6748657,678,33.60814285,678,66.17057037,678,66.60575104,678,33.13911438,
677,17.25769043,677,134.8769836,677,33.60437012,677,66.16742706,677,66.6044693,677,33.14254761,
676,17.10469246,676,135.0489807,676,33.61217117,676,66.16698456,676,66.61507416,676,33.15398788,
675,16.95926094,675,135.2399597,675,33.61440659,675,66.17092896,675,66.60578156,675,33.1538887,
674,16.81717682,674,135.4306641,674,33.62835693,674,66.15507507,674,66.59279633,674,33.15228271,
673,16.68203354,673,135.5864563,673,33.61865997,673,66.16713715,673,66.59127808,673,33.15884018,
672,16.55947876,672,135.7450409,672,33.61894608,672,66.15155029,672,66.58869171,672,33.16598511,
671,16.44033623,671,135.8894958,671,33.62639999,671,66.14506531,671,66.58443451,671,33.1622963,
670,16.33441162,670,136.0419312,670,33.62604523,670,66.14100647,670,66.57247925,670,33.16744995,
669,16.23718071,669,136.1755066,669,33.6305275,669,66.13547516,669,66.57096863,669,33.17296219,
668,16.14898491,668,136.2971802,668,33.63513565,668,66.13108063,668,66.56679535,668,33.17254257,
667,16.07115555,667,136.4050751,667,33.64924622,667,66.12848663,667,66.56272125,667,33.17734528,
666,16.00917435,666,136.4929504,666,33.64694977,666,66.11798096,666,66.55989838,666,33.1875267,
665,15.95621967,665,136.5551453,665,33.65071106,665,66.11502838,665,66.56223297,665,33.19335556,
664,15.91748142,664,136.6261292,664,33.64584351,664,66.11224365,664,66.55957794,664,33.19729233,
