Baseline 100%T,,Sample 6.00 12.00,,Sample 6.00  180.00,,
Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),%T,
700,212.3887482,700,33.14554596,700,66.6076889,
699,212.3137512,699,33.15018845,699,66.60299683,
698,212.2831879,698,33.14961624,698,66.59135437,
697,212.2197418,697,33.153965,697,66.59460449,
696,212.1527252,696,33.15839767,696,66.58595276,
695,212.1281891,695,33.16061783,695,66.57781982,
694,212.0753326,694,33.1608696,694,66.57807922,
693,212.0103607,693,33.16634369,693,66.57678986,
692,211.9555664,692,33.17177963,692,66.57815552,
691,211.9072266,691,33.17100525,691,66.567276,
690,211.8731232,690,33.17211151,690,66.56008148,
689,211.8179626,689,33.17641068,689,66.56092072,
688,211.7647858,688,33.17878342,688,66.55335999,
687,211.7158813,687,33.18500519,687,66.55212402,
686,211.6767883,686,33.18442154,686,66.54563904,
685,211.6132507,685,33.18930054,685,66.54756927,
684,211.5951233,684,33.18816376,684,66.53279877,
683,211.5276642,683,33.19397736,683,66.53400421,
682,211.5032196,682,33.1918869,682,66.5244751,
681,211.4631958,681,33.19698334,681,66.51993561,
680,211.4042511,680,33.20198059,680,66.52362061,
679,211.3757172,679,33.20509338,679,66.51704407,
678,211.3277435,678,33.20964432,678,66.51672363,
677,211.2795868,677,33.21289825,677,66.51321411,
676,211.2552643,676,33.2161026,676,66.50997162,
675,211.2094116,675,33.21960449,675,66.50222778,
674,211.1841431,674,33.22153473,674,66.49936676,
673,211.1508331,673,33.22672272,673,66.49558258,
672,211.1184082,672,33.2297287,672,66.49040985,
671,211.1068726,671,33.23202896,671,66.48571777,
670,211.0805969,670,33.23579788,670,66.47969055,
669,211.0534973,669,33.23980713,669,66.4766922,
668,211.0489655,668,33.24258804,668,66.47151947,
667,211.025589,667,33.24691772,667,66.46363831,
666,211.0096436,666,33.24987411,666,66.46112061,
665,211.0079041,665,33.25453949,665,66.46092224,
664,210.9865875,664,33.2576828,664,66.45046234,
663,210.9915314,663,33.26120758,663,66.44841766,
662,210.9878235,662,33.26776505,662,66.44727325,
661,210.9870453,661,33.26917267,661,66.44018555,
660,210.997467,660,33.27363968,660,66.43318176,
659,210.9993286,659,33.28001022,659,66.43503571,
658,211.0088654,658,33.28234482,658,66.43107605,
657,211.013504,657,33.28948593,657,66.43063354,
656,211.0394897,656,33.29374695,656,66.42261505,
655,211.0622864,655,33.29734039,655,66.41660309,
654,211.0985718,654,33.29945374,654,66.40995789,
653,211.1186981,653,33.30633926,653,66.40148163,
652,211.1482849,652,33.31208038,652,66.40213013,
651,211.1780701,651,33.3178978,651,66.39190674,
650,211.2146149,650,33.32220078,650,66.39044952,
649,211.2686462,649,33.32396317,649,66.38143921,
648,211.296463,648,33.33189392,648,66.37940216,
647,211.3544769,647,33.33559799,647,66.3697052,
646,211.4151001,646,33.33879852,646,66.35762787,
645,211.4488373,645,33.34495926,645,66.35536194,
644,211.4885101,644,33.35332108,644,66.35803986,
643,211.5496674,643,33.3559227,643,66.35536194,
642,211.5964966,642,33.36146545,642,66.3470459,
641,211.6545868,641,33.36740112,641,66.34175873,
640,211.7081909,640,33.37147903,640,66.33438873,
639,211.7691345,639,33.3769455,639,66.32453918,
638,211.8157654,638,33.38318634,638,66.32310486,
637,211.8668823,637,33.38840485,637,66.31752014,
636,211.9186096,636,33.39475632,636,66.31214905,
635,211.9741974,635,33.40061951,635,66.30473328,
634,212.0104523,634,33.40724182,634,66.30395508,
633,212.0734863,633,33.40866852,633,66.28948212,
632,212.1109314,632,33.41602325,632,66.28640747,
631,212.1602325,631,33.42037201,631,66.27715302,
630,212.2002869,630,33.42746353,630,66.27419281,
629,212.2328033,629,33.43348694,629,66.2673111,
628,212.2702637,628,33.43890762,628,66.2636795,
627,212.3085327,627,33.44576645,627,66.25786591,
626,212.3277588,626,33.45340729,626,66.25067139,
625,212.3464355,625,33.45898819,625,66.24932861,
624,212.3783569,624,33.46241379,624,66.24080658,
623,212.4047546,623,33.46391296,623,66.23262024,
622,212.4286194,622,33.47115326,622,66.22337341,
621,212.4287415,621,33.47760773,621,66.222229,
620,212.4414215,620,33.47918701,620,66.22081757,
619,212.440918,619,33.48750687,619,66.21683502,
618,212.4387512,618,33.49350739,618,66.21268463,
617,212.4416046,617,33.49816895,617,66.20910645,
616,212.4313812,616,33.5037117,616,66.20767975,
615,212.4259644,615,33.50521469,615,66.19694519,
614,212.4143677,614,33.51437378,614,66.19998169,
613,212.4044647,613,33.51742554,613,66.19012451,
612,212.4039459,612,33.51777267,612,66.18576813,
611,212.400528,611,33.52272034,611,66.18436432,
610,212.3788147,610,33.52773666,610,66.18019104,
609,212.3749695,609,33.53335953,609,66.17897034,
608,212.3751373,608,33.53544617,608,66.17167664,
607,212.3551636,607,33.54021072,607,66.16938019,
606,212.3589478,606,33.54327393,606,66.16786957,
605,212.362854,605,33.54758453,605,66.15904999,
604,212.3507538,604,33.55327988,604,66.1570282,
603,212.3684235,603,33.55809784,603,66.15126038,
602,212.3662262,602,33.56332397,602,66.14574432,
601,212.3867798,601,33.57135773,601,66.14419556,
600,212.4065094,600,33.57597351,600,66.13999939,
599,212.4342957,599,33.57975006,599,66.13424683,
598,212.4712524,598,33.58628082,598,66.12486267,
597,212.5261078,597,33.59196091,597,66.11295319,
596,212.5686188,596,33.59949112,596,66.11226654,
595,212.6503296,595,33.60396194,595,66.10189819,
594,212.7057037,594,33.61450577,594,66.09592438,
593,212.7880096,593,33.62016678,593,66.08778381,
592,212.8721008,592,33.62981796,592,66.08146667,
591,212.9688263,591,33.63847351,591,66.07408142,
590,213.0767059,590,33.64596558,590,66.0656662,
