Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
700,21.5206604,700,129.5182648,700,33.44158554,700,66.08760071,700,66.57263947,700,33.01528549,
699,21.32804489,699,129.7644958,699,33.4615097,699,66.09499359,699,66.56462097,699,33.02192688,
698,21.14127731,698,130.0047913,698,33.44258881,698,66.10236359,698,66.56278992,698,33.02569962,
697,20.9491787,697,130.2374725,697,33.46620941,697,66.08364868,697,66.56433868,697,33.0334053,
696,20.75741386,696,130.4938049,696,33.44910431,696,66.09493256,696,66.55310059,696,33.03176498,
695,20.56705666,695,130.7215576,695,33.46184921,695,66.08389282,695,66.55486298,695,33.03583145,
694,20.37495613,694,130.9806671,694,33.47848511,694,66.07631683,694,66.54124451,694,33.03471756,
693,20.1798687,693,131.2075195,693,33.48516464,693,66.07926178,693,66.54584503,693,33.04532623,
692,19.98530579,692,131.4559631,692,33.4933815,692,66.07953644,692,66.54336548,692,33.0456543,
691,19.79356766,691,131.6908875,691,33.49055481,691,66.07526398,691,66.54286957,691,33.05247498,
690,19.60310936,690,131.9198914,690,33.4928093,690,66.06456757,690,66.54354095,690,33.06018829,
689,19.41071129,689,132.1718292,689,33.48212814,689,66.04790497,689,66.53125,689,33.06092453,
688,19.21688271,688,132.4147034,688,33.50393295,688,66.06424713,688,66.52722168,688,33.06433868,
687,19.03044128,687,132.6353149,687,33.49768829,687,66.04521179,687,66.52529144,687,33.06984329,
686,18.83787155,686,132.8756409,686,33.50128174,686,66.0355835,686,66.51737976,686,33.07209015,
685,18.64787674,685,133.1197815,685,33.52172852,685,66.05209351,685,66.50680542,685,33.07180023,
684,18.46168709,684,133.3553619,684,33.51398849,684,66.0383606,684,66.49713898,684,33.07672882,
683,18.28104782,683,133.578186,683,33.52495956,683,66.01740265,683,66.49806976,683,33.07486725,
682,18.09760284,682,133.8074646,682,33.52714539,682,66.04310608,682,66.49211884,682,33.08375549,
681,17.91970825,681,134.0122986,681,33.52275848,681,66.02716064,681,66.49608612,681,33.08673477,
680,17.74644852,680,134.2357483,680,33.53632355,680,66.0241394,680,66.48595428,680,33.08760834,
