Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
700,21.52590179,700,129.5314636,700,33.49979019,700,66.1652832,700,66.60756683,700,33.03351593,
699,21.33827209,699,129.7893524,699,33.50967789,699,66.15888214,699,66.59829712,699,33.03421021,
698,21.14944077,698,130.0196991,698,33.51408005,698,66.15528107,698,66.59885406,698,33.03831482,
697,20.95903587,697,130.2683105,697,33.51069641,697,66.12678528,697,66.59242249,697,33.04175949,
696,20.76697731,696,130.5167389,696,33.48968506,696,66.134552,696,66.5848465,696,33.04468536,
695,20.57351303,695,130.7667084,695,33.49548721,695,66.1319046,695,66.57926941,695,33.04801559,
694,20.38088226,694,131.0076904,694,33.51246262,694,66.13071442,694,66.581604,694,33.04998779,
693,20.18211937,693,131.2433777,693,33.53160095,693,66.1544342,693,66.57881927,693,33.05473328,
692,19.9883728,692,131.4863586,692,33.52767181,692,66.13304901,692,66.57363892,692,33.05704117,
691,19.80088615,691,131.7390747,691,33.52524567,691,66.14801025,691,66.56520081,691,33.0567627,
690,19.60801506,690,131.9829559,690,33.53969955,690,66.13677979,690,66.55883026,690,33.05903244,
689,19.4149437,689,132.2225647,689,33.53649521,689,66.12741852,689,66.55200958,689,33.06446075,
688,19.22335815,688,132.4675293,688,33.53876877,688,66.1145401,688,66.55034637,688,33.06813431,
687,19.0353241,687,132.692749,687,33.53232956,687,66.10778809,687,66.54720306,687,33.07134628,
686,18.8440094,686,132.9411926,686,33.54455948,686,66.09645081,686,66.53157806,686,33.07111359,
685,18.65563965,685,133.165451,685,33.54026031,685,66.09001923,685,66.53088379,685,33.08165741,
684,18.46961975,684,133.4011841,684,33.55746841,684,66.10334015,684,66.532341,684,33.08178711,
683,18.28638268,683,133.6170654,683,33.55850983,683,66.08541107,683,66.52632141,683,33.08763885,
682,18.10411835,682,133.8417969,682,33.56480408,682,66.09590149,682,66.51934052,682,33.09366226,
681,17.92786789,681,134.0475922,681,33.56248093,681,66.09706879,681,66.52148438,681,33.09140778,
680,17.75498772,680,134.2586823,680,33.57220459,680,66.0759964,680,66.51699829,680,33.10009384,
679,17.58716011,679,134.4777069,679,33.56289291,679,66.06700897,679,66.51340485,679,33.09909821,
678,17.42199326,678,134.6820984,678,33.55860901,678,66.06877136,678,66.50760651,678,33.1026268,
677,17.26293564,677,134.8841553,677,33.56485748,677,66.05387115,677,66.50350952,677,33.10766983,
676,17.11022377,676,135.0755615,676,33.56441116,676,66.04936218,676,66.49712372,676,33.11045456,
675,16.95981026,675,135.2666626,675,33.5646019,675,66.06486511,675,66.48735046,675,33.11365891,
674,16.82003784,674,135.426651,674,33.57798767,674,66.05632019,674,66.49227142,674,33.11814117,
673,16.68689728,673,135.5986786,673,33.58224869,673,66.05783844,673,66.48423767,673,33.1195755,
672,16.5631485,672,135.7477112,672,33.57859421,672,66.02946472,672,66.48397827,672,33.12702179,
671,16.44375229,671,135.9125671,671,33.60476685,671,66.02667236,671,66.47151184,671,33.12390518,
670,16.33553696,670,136.0479889,670,33.59500122,670,66.02826691,670,66.47135925,670,33.13294601,
669,16.23590851,669,136.1709747,669,33.5979805,669,66.00976563,669,66.47216797,669,33.13832474,
668,16.15093422,668,136.2892609,668,33.58555603,668,66.02391815,668,66.4616394,668,33.14125824,
667,16.07129669,667,136.3991852,667,33.61103058,667,66.02882385,667,66.45936584,667,33.14730072,
666,16.00806808,666,136.4989166,666,33.62598801,666,66.01890564,666,66.45037842,666,33.14717865,
665,15.95359707,665,136.5561371,665,33.6092186,665,66.02524567,665,66.4548645,665,33.1559906,
664,15.91666031,664,136.6312256,664,33.62734604,664,65.99834442,664,66.45008087,664,33.15690994,
663,15.89221478,663,136.6942902,663,33.63347626,663,65.99783325,663,66.43940735,663,33.16080856,
662,15.88407135,662,136.7180328,662,33.62980652,662,66.00997162,662,66.44207001,662,33.1663208,
661,15.88848686,661,136.7557373,661,33.63782883,661,66.01168823,661,66.43221283,661,33.16423798,
660,15.91125011,660,136.750946,660,33.64159012,660,66.00036621,660,66.42863464,660,33.16989899,
659,15.95231438,659,136.7373505,659,33.64909744,659,65.9896698,659,66.42959595,659,33.17696762,
658,16.01181412,658,136.711441,658,33.64604187,658,65.97821045,658,66.41739655,658,33.18198776,
657,16.08862686,657,136.659668,657,33.64028168,657,65.96124268,657,66.41358948,657,33.18548203,
656,16.18241882,656,136.6017761,656,33.66188812,656,65.97922516,656,66.41028595,656,33.18787766,
655,16.30262184,655,136.5193634,655,33.65874481,655,65.96351624,655,66.40132904,655,33.19212723,
654,16.43539619,654,136.4096222,654,33.66141129,654,65.96673584,654,66.40375519,654,33.19379044,
653,16.59321404,653,136.2885895,653,33.6643486,653,65.94937134,653,66.39364624,653,33.20354843,
652,16.77279091,652,136.1442108,652,33.67289352,652,65.95326996,652,66.39130402,652,33.20653152,
651,16.97200394,651,136.0046539,651,33.68899536,651,65.95523071,651,66.37438965,651,33.2049942,
650,17.19653893,650,135.8127441,650,33.68520355,650,65.95588684,650,66.37590027,650,33.21465683,
649,17.44459152,649,135.6172943,649,33.67977524,649,65.94166565,649,66.36968994,649,33.21283722,
648,17.71457481,648,135.4030762,648,33.69437027,648,65.9422226,648,66.36340332,648,33.21677017,
647,18.00788307,647,135.172699,647,33.69239426,647,65.92012787,647,66.35567474,647,33.219944,
646,18.31414604,646,134.9121246,646,33.71966934,646,65.92647552,646,66.3498764,646,33.22520828,
645,18.65326691,645,134.6200409,645,33.69726181,645,65.91196442,645,66.35655212,645,33.23330688,
644,19.01427269,644,134.3347015,644,33.72401047,644,65.91359711,644,66.35028839,644,33.2378273,
643,19.39095116,643,134.0402222,643,33.72208786,643,65.90712738,643,66.33521271,643,33.24021149,
642,19.7912674,642,133.7198792,642,33.72349548,642,65.91372681,642,66.32979584,642,33.24249649,
641,20.21310616,641,133.3894196,641,33.72366333,641,65.89167786,641,66.32216644,641,33.24520493,
640,20.64527512,640,133.0317841,640,33.74351501,640,65.89654541,640,66.32580566,640,33.25389862,
639,21.0952282,639,132.6649017,639,33.73534393,639,65.87536621,639,66.3297348,639,33.25999832,
638,21.55405807,638,132.3003387,638,33.74313736,638,65.88353729,638,66.32192993,638,33.26318359,
637,22.02929878,637,131.9308472,637,33.75177002,637,65.88380432,637,66.31424713,637,33.26712799,
636,22.51296234,636,131.5681305,636,33.7511673,636,65.85842133,636,66.30819702,636,33.27106094,
635,22.9928894,635,131.1872559,635,33.76630402,635,65.86868286,635,66.30605316,635,33.27555084,
634,23.48211479,634,130.8110046,634,33.74911499,634,65.87802124,634,66.30491638,634,33.28005219,
633,23.97201729,633,130.4361725,633,33.75391006,633,65.86681366,633,66.29799652,633,33.28852844,
632,24.44478798,632,130.073349,632,33.76744461,632,65.83803558,632,66.29016113,632,33.29056931,
631,24.91098595,631,129.7307129,631,33.77916718,631,65.83893585,631,66.28078461,631,33.29074097,
630,25.36623383,630,129.3917236,630,33.77138138,630,65.84030914,630,66.27726746,630,33.30008698,
629,25.80253983,629,129.0658264,629,33.79268265,629,65.83362579,629,66.27702332,629,33.30396271,
628,26.21297836,628,128.7610321,628,33.79676437,628,65.8456955,628,66.27272034,628,33.31483459,
627,26.60288811,627,128.4839478,627,33.78585052,627,65.8208847,627,66.27037811,627,33.32223129,
626,26.95689201,626,128.2449341,626,33.80763626,626,65.82344055,626,66.26216888,626,33.32723999,
625,27.2773838,625,128.0383759,625,33.8039856,625,65.81718445,625,66.26171112,625,33.33291626,
624,27.55752182,624,127.8837891,624,33.80329514,624,65.82302094,624,66.26174164,624,33.33161163,
623,27.79311562,623,127.7513962,623,33.81395721,623,65.8142395,623,66.25393677,623,33.33628082,
622,27.97732735,622,127.6590347,622,33.81738281,622,65.81745911,622,66.25987244,622,33.34447098,
621,28.11584091,621,127.6415863,621,33.82044601,621,65.78869629,621,66.25203705,621,33.34724426,
620,28.19074631,620,127.6632309,620,33.82512665,620,65.81062317,620,66.24655914,620,33.35250473,
619,28.21194839,619,127.7584229,619,33.80145264,619,65.79299164,619,66.23381805,619,33.35326767,
618,28.17386055,618,127.8907623,618,33.83415604,618,65.78673553,618,66.22696686,618,33.35528564,
617,28.0744915,617,128.0676422,617,33.8384819,617,65.78972626,617,66.22583008,617,33.36238098,
616,27.91950607,616,128.3142395,616,33.86257935,616,65.78466797,616,66.22064972,616,33.36818314,
615,27.70164108,615,128.5993347,615,33.86209106,615,65.77622986,615,66.22258759,615,33.37822723,
614,27.42103958,614,128.9553833,614,33.8651886,614,65.76435852,614,66.20858002,614,33.37942886,
613,27.09283257,613,129.3328552,613,33.87994003,613,65.76034546,613,66.20497894,613,33.38734055,
612,26.70545959,612,129.7687225,612,33.87449646,612,65.76881409,612,66.20665741,612,33.39263535,
611,26.27812958,611,130.2215271,611,33.87810898,611,65.77338409,611,66.20133209,611,33.39371872,
610,25.82670784,610,130.6918335,610,33.88119507,610,65.7589035,610,66.20549011,610,33.4065094,
609,25.34194374,609,131.2048187,609,33.90748978,609,65.76148987,609,66.19113159,609,33.40698242,
608,24.84999657,608,131.7012634,608,33.90393066,608,65.75945282,608,66.17772675,608,33.41160583,
607,24.35626602,607,132.1789551,607,33.90430069,607,65.74389648,607,66.18051147,607,33.41934204,
606,23.8735199,606,132.6246643,606,33.92704391,606,65.75067139,606,66.17401886,606,33.42788696,
605,23.42661285,605,133.0270386,605,33.92405701,605,65.74456024,605,66.17170715,605,33.43631744,
604,23.01016045,604,133.381897,604,33.92918396,604,65.73294067,604,66.16989136,604,33.4393959,
603,22.65529251,603,133.6648407,603,33.93486404,603,65.71694946,603,66.15943909,603,33.44792938,
602,22.36172485,602,133.8707733,602,33.93881607,602,65.72395325,602,66.15892792,602,33.45180511,
601,22.14686584,601,133.9918518,601,33.95410919,601,65.71112061,601,66.1559906,601,33.46126175,
600,22.02348137,600,134.0106354,600,33.95402527,600,65.72247314,600,66.15053558,600,33.46530914,
599,21.99371719,599,133.9537354,599,33.97066498,599,65.7228775,599,66.1399231,599,33.46634674,
598,22.07140541,598,133.7751312,598,33.96393204,598,65.70391846,598,66.135849,598,33.47790909,
597,22.24746132,597,133.4981842,597,33.98955917,597,65.71865845,597,66.12532043,597,33.48473358,
596,22.54540825,596,133.1230011,596,33.97246933,596,65.69698334,596,66.12649536,596,33.49089813,
595,22.95210266,595,132.6403198,595,33.98900986,595,65.71170807,595,66.12266541,595,33.50235367,
594,23.46191025,594,132.0801086,594,33.98158264,594,65.69216156,594,66.12506866,594,33.50261307,
593,24.08618355,593,131.4339447,593,33.99784851,593,65.68823242,593,66.1182251,593,33.51079941,
592,24.81692314,592,130.7024384,592,34.00058746,592,65.66588593,592,66.1164093,592,33.51501083,
591,25.62974167,591,129.9103088,591,33.99893188,591,65.65468597,591,66.10732269,591,33.52109146,
590,26.52692413,590,129.0283966,590,34.00008392,590,65.65216827,590,66.10568237,590,33.53378677,
589,27.50300789,589,128.1163177,589,34.01324463,589,65.66273499,589,66.09297943,589,33.53548813,
588,28.53334045,588,127.1325455,588,34.01942062,588,65.64881897,588,66.09683228,588,33.54562378,
587,29.61051559,587,126.1353455,587,34.02384949,587,65.65267944,587,66.09297943,587,33.5523262,
586,30.72571373,586,125.1192322,586,34.03776169,586,65.64678192,586,66.08088684,586,33.5493927,
585,31.87809372,585,124.0646591,585,34.04760361,585,65.63664246,585,66.08592987,585,33.5580368,
584,33.04274368,584,123.025177,584,34.0292778,584,65.61800385,584,66.07443237,584,33.56242752,
583,34.19070435,583,121.9750748,583,34.05093002,583,65.60797882,583,66.06441498,583,33.57507706,
582,35.34655762,582,120.9258118,582,34.06445694,582,65.62356567,582,66.05667114,582,33.5767746,
581,36.49049377,581,119.8993225,581,34.07112885,581,65.61623383,581,66.05556488,581,33.58385086,
580,37.60195541,580,118.8857574,580,34.09086609,580,65.6151123,580,66.04638672,580,33.5880661,
579,38.68804169,579,117.9051895,579,34.0868187,579,65.60377502,579,66.04721832,579,33.59366989,
578,39.74045181,578,116.9475403,578,34.1002388,578,65.6040802,578,66.03099823,578,33.6111412,
577,40.75214386,577,116.0095673,577,34.09747696,577,65.59178925,577,66.03083801,577,33.61355209,
576,41.72015381,576,115.1372528,576,34.11374664,576,65.59963989,576,66.01486969,576,33.61222458,
575,42.64301682,575,114.2911911,575,34.12161636,575,65.59494019,575,66.01397705,575,33.621521,
574,43.53870392,574,113.477478,574,34.1300621,574,65.58149719,574,66.00730133,574,33.62171936,
573,44.39269257,573,112.6750259,573,34.1339798,573,65.57933044,573,66.00865173,573,33.63636017,
572,45.18790436,572,111.922142,572,34.13844681,572,65.56845093,572,65.9967041,572,33.64550018,
571,45.9606514,571,111.2062225,571,34.13898468,571,65.56654358,571,65.99166107,571,33.6499176,
570,46.69813156,570,110.5254211,570,34.14631653,570,65.54255676,570,65.98907471,570,33.65587616,
569,47.38330841,569,109.8815002,569,34.15375519,569,65.54029846,569,65.98654938,569,33.67006302,
568,47.93674469,568,109.3650208,568,34.14873886,568,65.5326767,568,65.97784424,568,33.67615509,
567,48.35275269,567,108.9719772,567,34.16580582,567,65.5454483,567,65.97307587,567,33.68060303,
566,48.65692139,566,108.6709747,566,34.17284393,566,65.52902985,566,65.96530914,566,33.69067764,
565,48.85744095,565,108.4512024,565,34.17407227,565,65.52368927,565,65.96509552,565,33.69630814,
564,48.96332169,564,108.3126907,564,34.18871689,564,65.52884674,564,65.96289825,564,33.70536041,
563,49.01691818,563,108.2386932,563,34.19987869,563,65.50918579,563,65.94752502,563,33.70657349,
562,49.06722641,562,108.155632,562,34.20356369,562,65.50858307,562,65.93647766,562,33.71661758,
561,49.11006546,561,108.0737839,561,34.20355606,561,65.4899292,561,65.92919922,561,33.7192421,
560,49.14159012,560,107.9890594,560,34.20714569,560,65.48883057,560,65.92243195,560,33.71961975,
559,49.19421005,559,107.873703,559,34.22074509,559,65.47949982,559,65.92627716,559,33.73134613,
558,49.24360657,558,107.7796478,558,34.22570801,558,65.46710205,558,65.91796112,558,33.74304962,
557,49.27384949,557,107.6872711,557,34.23360443,557,65.47789001,557,65.90046692,557,33.74895859,
556,49.31557083,556,107.5904694,556,34.25318146,556,65.46373749,556,65.89542389,556,33.75572968,
555,49.34299469,555,107.5064926,555,34.25694275,555,65.44989777,555,65.88574982,555,33.77098846,
554,49.36075592,554,107.4197617,554,34.25631714,554,65.46517181,554,65.8859024,554,33.77009964,
553,49.37107468,553,107.3444824,553,34.27765274,553,65.44839478,553,65.88231659,553,33.78375626,
552,49.36604309,552,107.2765808,552,34.27249527,552,65.4313736,552,65.87477112,552,33.78416061,
551,49.35284424,551,107.2108994,551,34.29205704,551,65.44923401,551,65.86911774,551,33.79656219,
550,49.32553864,550,107.1670151,550,34.29741669,550,65.44282532,550,65.84366608,550,33.79854202,
549,49.28634262,549,107.1228027,549,34.31421661,549,65.4312439,549,65.83989716,549,33.810215,
548,49.21609116,548,107.1095581,548,34.30799484,548,65.420784,548,65.83123779,548,33.81955719,
547,49.0456543,547,107.211647,547,34.31630707,547,65.41106415,547,65.82038116,547,33.8276329,
546,48.80567932,546,107.3631668,546,34.32677841,546,65.39820099,546,65.81880188,546,33.83189011,
545,48.51731491,545,107.5441208,545,34.32431412,545,65.38938141,545,65.81858063,545,33.83680344,
544,48.18979263,544,107.7705765,544,34.34848022,544,65.38763428,544,65.80382538,544,33.84116364,
543,47.83866882,543,107.9857559,543,34.34758377,543,65.36859894,543,65.80439758,543,33.85309982,
542,47.50977325,542,108.1828461,542,34.35823822,542,65.36862946,542,65.795578,542,33.8563118,
541,47.2199173,541,108.33992,541,34.36635208,541,65.35820007,541,65.78432465,541,33.87010574,
540,46.94922638,540,108.4771423,540,34.36605072,540,65.35400391,540,65.77368164,540,33.88131332,
539,46.71422195,539,108.5835114,539,34.37261963,539,65.34416199,539,65.75702667,539,33.89480209,
538,46.49444962,538,108.6582336,538,34.38924408,538,65.33844757,538,65.75839233,538,33.9044075,
537,46.29662704,537,108.7213135,537,34.40908432,537,65.32262421,537,65.74729919,537,33.91646576,
536,46.1072731,536,108.769989,536,34.39733887,536,65.31388092,536,65.74131012,536,33.926754,
535,45.91841507,535,108.8219147,535,34.41318893,535,65.32624817,535,65.73905945,535,33.92049789,
534,45.74299622,534,108.859024,534,34.4190979,534,65.30835724,534,65.72517395,534,33.92376709,
533,45.5725441,533,108.8895111,533,34.42638016,533,65.29239655,533,65.71915436,533,33.92554092,
532,45.40594482,532,108.917305,532,34.44033051,532,65.28849792,532,65.71870422,532,33.93664169,
531,45.24225998,531,108.9283829,531,34.4552536,531,65.28944397,531,65.7177887,531,33.94476318,
530,45.07693863,530,108.9366531,530,34.46359634,530,65.25948334,530,65.70430756,530,33.95404816,
529,44.91292953,529,108.9485626,529,34.48118591,529,65.26927185,529,65.68747711,529,33.95859909,
528,44.75257492,528,108.9546585,528,34.47246552,528,65.25302124,528,65.67329407,528,33.97702789,
527,44.59331512,527,108.9531097,527,34.49686813,527,65.25321198,527,65.65866089,527,33.97657013,
526,44.4330101,526,108.935585,526,34.50846863,526,65.24440765,526,65.66400909,526,33.99739075,
525,44.27842331,525,108.9209671,525,34.50378036,525,65.24365997,525,65.65496063,525,34.00504303,
524,44.12501907,524,108.9184189,524,34.50873566,524,65.20822906,524,65.6394043,524,34.01263046,
523,43.96527863,523,108.902565,523,34.51184464,523,65.20108032,523,65.62280273,523,34.01547241,
522,43.79873276,522,108.881012,522,34.52362442,522,65.20427704,522,65.60679626,522,34.03191376,
521,43.64126205,521,108.8521729,521,34.52088928,521,65.20202637,521,65.60906982,521,34.0452652,
520,43.49250793,520,108.8256454,520,34.53595352,520,65.17547607,520,65.59668732,520,34.05081558,
519,43.3405571,519,108.795639,519,34.53748322,519,65.1650238,519,65.58638,519,34.06515503,
518,43.17746735,518,108.7675247,518,34.55496597,518,65.17121887,518,65.5721283,518,34.06799316,
517,43.0230217,517,108.7268448,517,34.57555008,517,65.15718842,517,65.56324005,517,34.08094406,
516,42.87039185,516,108.6876984,516,34.5737114,516,65.13728333,516,65.55408478,516,34.09223175,
515,42.70253372,515,108.6406097,515,34.58464813,515,65.1410675,515,65.54608917,515,34.09840012,
514,42.5528183,514,108.5894623,514,34.598526,514,65.10967255,514,65.54396057,514,34.10302734,
513,42.39619064,513,108.534668,513,34.60718918,513,65.09820557,513,65.53833771,513,34.1112709,
512,42.23423386,512,108.492485,512,34.61227798,512,65.10147095,512,65.51738739,512,34.1088028,
511,42.07403183,511,108.4378204,511,34.62833405,511,65.09593964,511,65.51275635,511,34.12138367,
510,41.9084816,510,108.3829498,510,34.64470673,510,65.09757996,510,65.50088501,510,34.13082123,
509,41.75681305,509,108.3040619,509,34.64255524,509,65.06637573,509,65.49684906,509,34.13953018,
508,41.60362625,508,108.2326279,508,34.64259338,508,65.07133484,508,65.4936676,508,34.15072632,
507,41.44240952,507,108.1634293,507,34.65413284,507,65.05093384,507,65.48036957,507,34.16056061,
506,41.27672195,506,108.0886383,506,34.6818161,506,65.06801605,506,65.45915222,506,34.17083359,
505,41.11963654,505,107.9962006,505,34.67831421,505,65.05234528,505,65.45653534,505,34.18653488,
504,40.95684433,504,107.928154,504,34.69771576,504,65.04651642,504,65.42987823,504,34.19830322,
