Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
700,21.52727699,700,129.5452423,700,33.46788788,700,66.08917999,700,66.54935455,700,33.01377106,
699,21.33638573,699,129.7959137,699,33.45667267,699,66.1051178,699,66.54631805,699,33.01273727,
698,21.14849663,698,130.033905,698,33.4731369,698,66.10792542,698,66.54173279,698,33.01337814,
697,20.95856476,697,130.2732544,697,33.48004913,697,66.0929184,697,66.54119873,697,33.02392578,
696,20.76332092,696,130.5075073,696,33.48188782,696,66.08138275,696,66.5415802,696,33.03255844,
695,20.57398033,695,130.7560272,695,33.47303772,695,66.0832901,695,66.53860474,695,33.02661896,
694,20.38400078,694,130.9979553,694,33.48475647,694,66.06693268,694,66.54359436,694,33.03302002,
693,20.18287659,693,131.2321625,693,33.49789047,693,66.10420227,693,66.53488922,693,33.03643417,
692,19.98882484,692,131.4838104,692,33.50352859,692,66.08705902,692,66.52748871,692,33.04073334,
691,19.80453491,691,131.7281189,691,33.48698425,691,66.06777191,691,66.51931,691,33.04540634,
690,19.61229897,690,131.9731903,690,33.48314285,690,66.07584381,690,66.51264191,690,33.04705811,
689,19.41767311,689,132.2171631,689,33.49592972,689,66.07218933,689,66.5046463,689,33.05303192,
688,19.22594833,688,132.4595184,688,33.49458313,688,66.06999207,688,66.50544739,688,33.05128479,
687,19.03531075,687,132.6799622,687,33.5148735,687,66.05580139,687,66.51010895,687,33.0521965,
686,18.84464264,686,132.9110718,686,33.51578522,686,66.04863739,686,66.51525116,686,33.05635834,
685,18.65629387,685,133.1392365,685,33.51815033,685,66.0555954,685,66.50379181,685,33.06354141,
684,18.47145462,684,133.3695221,684,33.52893066,684,66.05165863,684,66.49679565,684,33.06885529,
683,18.28751755,683,133.6010742,683,33.51027298,683,66.03155518,683,66.49117279,683,33.07104874,
682,18.10616302,682,133.8209839,682,33.52693176,682,66.03338623,682,66.48737335,682,33.07302856,
681,17.92769814,681,134.0370789,681,33.51931763,681,66.04311371,681,66.47516632,681,33.08043671,
680,17.75406456,680,134.2448425,680,33.53587723,680,66.03292084,680,66.47792816,680,33.08236313,
679,17.58517265,679,134.4615479,679,33.52877808,679,66.02679443,679,66.47296143,679,33.08578873,
678,17.41875458,678,134.6659241,678,33.53647995,678,66.01215363,678,66.46689606,678,33.09038162,
677,17.26217461,677,134.8705292,677,33.54720306,677,66.00413513,677,66.46492004,677,33.09354401,
676,17.10857201,676,135.0505066,676,33.56047058,676,66.0074234,676,66.46298218,676,33.10170364,
675,16.95981026,675,135.2536621,675,33.55172729,675,66.02629089,675,66.44952393,675,33.09419632,
674,16.82042122,674,135.4246674,674,33.55378342,674,65.99408722,674,66.45159912,674,33.10249329,
673,16.68688011,673,135.6013947,673,33.5617981,673,65.9917984,673,66.43451691,673,33.10382462,
672,16.56103516,672,135.7560272,672,33.56658936,672,65.99655914,672,66.42958832,672,33.10830688,
671,16.44387054,671,135.897522,671,33.56019211,671,65.99094391,671,66.43517303,671,33.10900879,
670,16.33553886,670,136.0368958,670,33.58165741,670,65.97848511,670,66.42971802,670,33.11852264,
669,16.23879433,669,136.1659698,669,33.57247162,669,65.99555206,669,66.42772675,669,33.12349319,
668,16.15309143,668,136.2950592,668,33.57830811,668,65.97408295,668,66.42436218,668,33.12069321,
667,16.07399178,667,136.4010162,667,33.57744217,667,65.96246338,667,66.4158783,667,33.12388992,
666,16.01209259,666,136.4898224,666,33.57917023,666,65.95340729,666,66.41366577,666,33.12532425,
665,15.96032715,665,136.5642548,665,33.5859375,665,65.95819855,665,66.41136932,665,33.13299561,
664,15.91879463,664,136.6343536,664,33.59440994,664,65.96336365,664,66.41195679,664,33.13763046,
663,15.89922142,663,136.6860352,663,33.59054184,663,65.91583252,663,66.40196991,663,33.14249802,
662,15.88968468,662,136.723465,662,33.57775879,662,65.94184875,662,66.39916992,662,33.1481514,
661,15.89545345,661,136.7387695,661,33.61861038,661,65.93894958,661,66.3960495,661,33.15790176,
660,15.9161272,660,136.757309,660,33.60578918,660,65.94844818,660,66.38525391,660,33.15600967,
659,15.95608997,659,136.7393036,659,33.60892868,659,65.96175385,659,66.38626862,659,33.15812302,
658,16.01663971,658,136.7151184,658,33.60495758,658,65.91455078,658,66.37672424,658,33.16344452,
657,16.09175873,657,136.6565399,657,33.62477112,657,65.91550446,657,66.38214874,657,33.1734314,
656,16.1870594,656,136.5820923,656,33.61877441,656,65.91570282,656,66.3754425,656,33.18223953,
655,16.30467033,655,136.5067291,655,33.64167786,655,65.91056824,655,66.35970306,655,33.18012619,
654,16.44120789,654,136.405426,654,33.63326263,654,65.9030304,654,66.35708618,654,33.18306351,
653,16.59700584,653,136.2774506,653,33.64685059,653,65.90645599,653,66.35255432,653,33.18993378,
652,16.78163528,652,136.1467896,652,33.63733673,652,65.89427948,652,66.35171509,652,33.19174576,
651,16.9812851,651,135.9911194,651,33.64006424,651,65.8911438,651,66.34294128,651,33.19181824,
650,17.20067024,650,135.825943,650,33.66264725,650,65.89796448,650,66.33789825,650,33.19752121,
649,17.44634628,649,135.6246338,649,33.67916489,649,65.9135437,649,66.32925415,649,33.20411301,
648,17.71648216,648,135.4094086,648,33.67150116,648,65.89102936,648,66.32604218,648,33.2034111,
647,18.01066589,647,135.1633148,647,33.66168213,647,65.88719177,647,66.32725525,647,33.21203232,
646,18.32003975,646,134.9010773,646,33.66263199,646,65.8819809,646,66.3188324,646,33.21493912,
645,18.66199684,645,134.6300049,645,33.67538071,645,65.86108398,645,66.31542206,645,33.2171402,
644,19.0185585,644,134.343399,644,33.68380737,644,65.87186432,644,66.31182098,644,33.22145462,
643,19.39754868,643,134.0339355,643,33.68964005,643,65.865242,643,66.31002808,643,33.22451782,
642,19.79903603,642,133.7070007,642,33.6931839,642,65.85635376,642,66.30844116,642,33.23201752,
641,20.21916389,641,133.379776,641,33.68420792,641,65.84716797,641,66.2964325,641,33.23719406,
