Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
700,21.5151844,700,129.4686127,700,33.5066185,700,66.18768311,700,66.62801361,700,33.05213165,
699,21.329422,699,129.7187653,699,33.50012207,699,66.17734528,699,66.615242,699,33.05249023,
698,21.13483429,698,129.9512482,698,33.52445221,698,66.18166351,698,66.6149292,698,33.05417633,
697,20.94763565,697,130.202179,697,33.51734924,697,66.16473389,697,66.60369873,697,33.05979156,
696,20.75265503,696,130.4462585,696,33.52306747,696,66.17102051,696,66.60512543,696,33.0595932,
695,20.5608902,695,130.6777191,695,33.52279663,695,66.16334534,695,66.60774231,695,33.06964493,
694,20.37005234,694,130.9262543,694,33.52793121,694,66.15395355,694,66.60375977,694,33.07570648,
693,20.17406464,693,131.1703033,693,33.53676987,693,66.16359711,693,66.59664917,693,33.0729332,
692,19.98217773,692,131.4165802,692,33.53852463,692,66.15387726,692,66.59085083,692,33.07610321,
691,19.79413414,691,131.6781616,691,33.51508331,691,66.13801575,691,66.57020569,691,33.0737381,
690,19.59842682,690,131.9173279,690,33.53270721,690,66.13116455,690,66.57724762,690,33.07774353,
689,19.40820122,689,132.1425018,689,33.54885864,689,66.12980652,689,66.57302856,689,33.082798,
688,19.21373558,688,132.3934021,688,33.54512024,688,66.14348602,688,66.56215668,688,33.08641434,
687,19.02487373,687,132.6083374,687,33.54314041,687,66.13182068,687,66.56274414,687,33.08964539,
686,18.83361435,686,132.8611908,686,33.54930115,686,66.10982513,686,66.54705048,686,33.08638763,
685,18.64372253,685,133.0860138,685,33.54561234,685,66.11855316,685,66.55375671,685,33.09499741,
684,18.46088219,684,133.3201447,684,33.54881668,684,66.11964417,684,66.54258728,684,33.09370422,
683,18.27368927,683,133.547821,683,33.58589935,683,66.12078857,683,66.53762817,683,33.0977211,
682,18.09217072,682,133.7616882,682,33.5802536,682,66.12452698,682,66.53727722,682,33.10491943,
681,17.91367149,681,133.9815521,681,33.57826614,681,66.12265778,681,66.53530121,681,33.10905838,
680,17.74248695,680,134.1959839,680,33.58399963,680,66.11123657,680,66.52805328,680,33.11423111,
679,17.57376289,679,134.4213409,679,33.57678223,679,66.10390472,679,66.51576996,679,33.11416626,
678,17.40694427,678,134.6212616,678,33.59130859,678,66.10752106,678,66.51776123,678,33.11478043,
677,17.24975777,677,134.8139343,677,33.58586884,677,66.07294464,677,66.51436615,677,33.12358093,
676,17.09675789,676,135.0118561,676,33.5986824,676,66.08452606,676,66.50746155,676,33.1257515,
675,16.94957161,675,135.1838531,675,33.6016922,675,66.0670166,675,66.51550293,675,33.12824249,
674,16.80977249,674,135.3771973,674,33.57819366,674,66.07889557,674,66.50110626,674,33.13276291,
673,16.67607117,673,135.5401917,673,33.60438156,673,66.07301331,673,66.50305939,673,33.13638687,
672,16.55280304,672,135.686264,672,33.61685944,672,66.03747559,672,66.50068665,672,33.14318848,
671,16.43580055,671,135.8311157,671,33.60887527,671,66.05647278,671,66.49117279,671,33.14836884,
670,16.32710648,670,135.9803772,670,33.62857819,670,66.04122162,670,66.4858017,670,33.14970016,
